Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,04-Jun-10,18:45
2,CCAFS,Dragon,0,LEO,"NASA (COTS)
NRO",Success,F9 v1.0B0004.1,Failure,08-Dec-10,15:43
3,CCAFS,Dragon,525 kg,LEO,NASA (COTS),Success,F9 v1.0B0005.1,"No attempt
",22-May-12,7:44
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA (CRS),"Success
",F9 v1.0B0006.1,No attempt,08-Oct-12,0:35
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA (CRS),"Success
",F9 v1.0B0007.1,"No attempt
",01-Mar-13,15:10
6,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.1B1003,Uncontrolled,29-Sep-13,16:00
7,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.1,No attempt,03-Dec-13,22:41
8,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,06-Jan-14,22:06
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA (CRS),"Success
",F9 v1.1,Controlled,18-Apr-14,19:25
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,14-Jul-14,15:15
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,05-Aug-14,8:00
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",07-Sep-14,5:00
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA (CRS),Success,F9 v1.1,Uncontrolled,21-Sep-14,5:52
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA (CRS),Success,F9 v1.1,Failure ,10-Jan-15,9:47
15,Cape Canaveral,DSCOVR,570 kg,HEO,"USAF
NASA
NOAA","Success
",F9 v1.1,Controlled,11-Feb-15,23:03
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,"ABS
Eutelsat","Success
",F9 v1.1,No attempt,02-Mar-15,3:50
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA (CRS),"Success
",F9 v1.1,Failure,14-Apr-15,20:10
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,Turkmenistan NationalSpace Agency[88],"Success
",F9 v1.1,No attempt,27-Apr-15,23:03
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA (CRS),Failure,F9 v1.1,Precluded,28-Jun-15,14:21
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 FT,Success,22-Dec-15,1:29
21,VAFB,Jason-3,553 kg,LEO,"NASA (LSP)
NOAA
CNES","Success
",F9 v1.1,Failure,17-Jan-16,18:42
22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",F9 FT,Failure,04-Mar-16,23:35
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA (CRS),Success,F9 FT,Success,08-Apr-16,20:43
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,06-May-16,5:21
